filename,description,photo_id,width,height,average_color,median,brightest_pixel_x_coord,brightest_pixel_y_coord
stock-photo-close-up-top-view-of-young-business-people-putting-their-hands-together-stack-of-hands-unity-and-1498583432.jpg,close up top view of young business people putting their hands together stack of hands unity and ,1498583432,1500,940,"(185, 196, 214)",183.0,68,839
stock-photo-smart-city-and-abstract-dot-point-connect-with-gradient-line-and-aesthetic-intricate-wave-line-1499306735.jpg,smart city and abstract dot point connect with gradient line and aesthetic intricate wave line ,1499306735,1500,724,"(65, 46, 42)",48.0,75,800
stock-photo-view-of-moon-limb-with-earth-rising-on-the-horizon-footprints-as-an-evidence-of-people-being-there-1454730908.jpg,view of moon limb with earth rising on the horizon footprints as an evidence of people being there ,1454730908,1500,1101,"(55, 54, 49)",46.0,32,872
stock-photo-architect-team-having-a-discussion-1380294050.jpg,architect team having a discussion ,1380294050,1500,945,"(212, 171, 119)",76.0,32,899
stock-photo-closeup-view-of-woman-with-drawn-flowers-on-green-chalkboard-space-for-text-teacher-s-day-1508523470.jpg,closeup view of woman with drawn flowers on green chalkboard space for text teacher s day ,1508523470,1500,1101,"(21, 70, 49)",51.0,314,977
stock-photo-october-breast-cancer-awareness-month-woman-in-pink-t-shirt-with-hand-holding-pink-ribbon-for-1505793707.jpg,october breast cancer awareness month woman in pink t shirt with hand holding pink ribbon for ,1505793707,1500,760,"(228, 111, 163)",163.0,690,80
stock-photo-young-joyful-casual-family-of-two-kids-and-couple-sitting-on-sofa-and-watching-funny-video-or-1499295359.jpg,young joyful casual family of two kids and couple sitting on sofa and watching funny video or ,1499295359,1500,1101,"(233, 206, 189)",186.0,0,90
stock-photo-hurricane-dorian-in-the-carribean-sea-on-its-way-to-us-mainland-in-august-elements-of-this-1492317566.jpg,hurricane dorian in the carribean sea on its way to us mainland in august elements of this ,1492317566,1500,1101,"(16, 23, 51)",60.0,113,426
stock-photo-close-up-of-two-businessmen-shaking-hands-in-modern-city-with-double-exposure-of-business-people-1452180959.jpg,close up of two businessmen shaking hands in modern city with double exposure of business people ,1452180959,1500,1101,"(181, 164, 196)",189.0,728,440
stock-photo-happy-dussehra-greeting-card-green-leaf-rice-1497972686.jpg,happy dussehra greeting card green leaf rice ,1497972686,1500,1101,"(252, 94, 3)",175.0,1031,81
stock-photo-suicide-prevention-and-childhood-cancer-awareness-yellow-ribbon-for-supporting-people-living-and-1482160559.jpg,suicide prevention and childhood cancer awareness yellow ribbon for supporting people living and ,1482160559,1500,1101,"(254, 253, 251)",236.0,0,4
stock-photo-zombie-rising-out-of-a-graveyard-cemetery-in-spooky-dark-night-full-moon-holiday-event-halloween-1492357433.jpg,zombie rising out of a graveyard cemetery in spooky dark night full moon holiday event halloween ,1492357433,1500,1101,"(102, 131, 149)",46.0,111,276
stock-photo-skeleton-zombie-hands-rising-out-of-a-cemetery-halloween-background-1495866737.jpg,skeleton zombie hands rising out of a cemetery halloween background ,1495866737,1500,790,"(97, 121, 131)",85.0,485,1272
stock-photo-nature-shots-for-the-pros-1506854450.jpg,nature shots for the pros ,1506854450,1500,1101,"(89, 118, 132)",76.0,1031,81
stock-photo-happy-family-mother-father-children-son-and-daughter-on-nature-on-sunset-1438256546.jpg,happy family mother father children son and daughter on nature on sunset ,1438256546,1500,1024,"(222, 183, 114)",161.0,6,719
stock-photo-nice-attractive-stylish-cheerful-cheery-positive-carefree-guys-ladies-having-fun-hanging-out-best-1436812790.jpg,nice attractive stylish cheerful cheery positive carefree guys ladies having fun hanging out best ,1436812790,1500,1101,"(55, 47, 98)",46.0,1031,81
stock-photo-sky-background-on-sunset-nature-abstract-composition-1484678003.jpg,sky background on sunset nature abstract composition ,1484678003,1500,1080,"(153, 201, 224)",160.0,892,948
stock-photo-adult-and-child-hands-holding-red-heart-heart-health-donation-happy-volunteer-charity-csr-1487364161.jpg,adult and child hands holding red heart heart health donation happy volunteer charity csr ,1487364161,1500,1101,"(173, 214, 208)",194.0,1031,81
stock-photo-top-view-of-beautiful-young-woman-sleeping-cozily-on-a-bed-in-his-bedroom-at-night-blue-nightly-1427337869.jpg,top view of beautiful young woman sleeping cozily on a bed in his bedroom at night blue nightly ,1427337869,1500,945,"(32, 76, 111)",35.0,875,80
stock-photo-lipstick-smear-smudge-swatch-isolated-on-white-background-cream-makeup-texture-bright-red-color-1471402472.jpg,lipstick smear smudge swatch isolated on white background cream makeup texture bright red color ,1471402472,1500,915,"(166, 24, 36)",255.0,0,0
